,コード,銘柄名,33業種コード,33業種区分
0,1301,極洋,50,水産・農林業
5,130A,Veritas　In　Silico,3250,医薬品
8,131A,CCNグループ,5250,情報・通信業
16,132A,アイエヌホールディングス,5050,陸運業
18,1332,ニッスイ,50,水産・農林業
19,1333,Umios,50,水産・農林業
26,134A,アプライズ,9050,サービス業
30,135A,VRAIN　Solution,5250,情報・通信業
38,136A,三興商事,2050,建設業
39,1375,ユキグニファクトリー,50,水産・農林業
40,1376,カネコ種苗,50,水産・農林業
41,1377,サカタのタネ,50,水産・農林業
42,1379,ホクト,50,水産・農林業
43,137A,Cocolive,5250,情報・通信業
44,1380,秋川牧園,50,水産・農林業
45,1381,アクシーズ,50,水産・農林業
46,1382,ホーブ,50,水産・農林業
47,1383,ベルグアース,50,水産・農林業
48,1384,ホクリヨウ,50,水産・農林業
49,138A,光フードサービス,6100,小売業
53,139A,東日本地所,8050,不動産業
54,1401,エムビーエス,2050,建設業
55,1407,ウエストホールディングス,2050,建設業
57,1414,ショーボンドホールディングス,2050,建設業
58,1417,ミライト・ワン,2050,建設業
59,1418,インターライフホールディングス,2050,建設業
60,1419,タマホーム,2050,建設業
61,141A,トライアルホールディングス,6100,小売業
62,1420,サンヨーホームズ,2050,建設業
63,1429,日本アクア,2050,建設業
64,142A,ジンジブ,9050,サービス業
65,1430,ファーストコーポレーション,2050,建設業
66,1431,Lib　Work,2050,建設業
67,1432,動力,2050,建設業
68,1433,ベステラ,2050,建設業
69,1434,JESCOホールディングス,2050,建設業
70,1435,robot　home,8050,不動産業
71,1436,グリーンエナジー&カンパニー,2050,建設業
72,1438,岐阜造園,2050,建設業
73,143A,イシン,9050,サービス業
74,1443,技研ホールディングス,2050,建設業
75,1444,ニッソウ,2050,建設業
76,1445,ひかりホールディングス,2050,建設業
77,1446,キャンディル,2050,建設業
78,1447,SAAFホールディングス,2050,建設業
79,144A,エネルギーパワー,2050,建設業
80,1450,TANAKEN,2050,建設業
81,1452,横浜ライト工業,2050,建設業
86,145A,L　is　B,5250,情報・通信業
89,146A,コロンビア・ワークス,8050,不動産業
98,147A,ソラコム,5250,情報・通信業
109,148A,ハッチ・ワーク,5250,情報・通信業
111,1491,中外鉱業,3500,非鉄金属
119,149A,シンカ,5250,情報・通信業
120,150A,JSH,9050,サービス業
121,1514,住石ホールディングス,1050,鉱業
122,1515,日鉄鉱業,1050,鉱業
123,1518,三井松島ホールディングス,3800,その他製品
124,151A,ダイブ,9050,サービス業
125,152A,オプティ,6050,卸売業
126,153A,カウリス,5250,情報・通信業
134,154A,GAIA,7200,その他金融業
141,155A,情報戦略テクノロジー,5250,情報・通信業
147,156A,マテリアルグループ,9050,サービス業
155,157A,グリーンモンスター,9050,サービス業
159,158A,エクセリ,6100,小売業
168,1605,INPEX,1050,鉱業
169,160A,アズパートナーズ,9050,サービス業
174,161A,三葉,9050,サービス業
191,164A,アップルパーク,8050,不動産業
202,1662,石油資源開発,1050,鉱業
203,1663,K&Oエナジーグループ,1050,鉱業
204,166A,タスキホールディングス,8050,不動産業
214,167A,リョーサン菱洋ホールディングス,6050,卸売業
223,168A,イタミアート,3800,その他製品
235,1711,SDSホールディングス,2050,建設業
236,1716,第一カッター興業,2050,建設業
237,1717,明豊ファシリティワークス,9050,サービス業
238,1718,美樹工業,2050,建設業
239,1719,安藤・間,2050,建設業
240,171A,ゼロジャパン,6050,卸売業
241,1720,東急建設,2050,建設業
242,1721,コムシスホールディングス,2050,建設業
243,1723,日本電技,2050,建設業
244,1724,シンクレイヤ,2050,建設業
245,1726,ビーアールホールディングス,2050,建設業
246,172A,ネオホーム,8050,不動産業
